file,ground_truth,baseline_prediction,finetuned_prediction
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_005889.wav,hoàn tất làn da với phấn màu sáng, Hoàn tất làng da với phấn màu sáng,hoàng tất làn da với phấn màu sáng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010495.wav,chiếc túi này được làm từ chất liệu gì vậy, Chích tuổi này được làm từ chất liệu gì vậy?,chếc túi này đựng làm từ chất liệu gì vậy
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011268.wav,tôi không thể bảo đảm cho bạn được nhưng tôi sẽ, Tôi không thể đảm bảo cho bạn được nhưng tôi sẽ,tôi không thể đảm bảo cho bạn được nhưng tôi sẽ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_001192.wav,cuối cùng thì anh có kịp thở không, Quay cùng thì anh có kịp thờ không?,quới cùng thì anh có kịp thờ không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_009485.wav,anh có trở thành một nhân chứng không, Anh có trự thành một nhánh trứng không?,anh có trở thành một nhân chứng không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007796.wav,Hai người chỉ kết thúc màn khóa môi quằn quại khi phát hiện có người quay clip, 2 người chỉ kể thúc man khỏa môi quan quay khi phát hiện có người quay clip.,Hai người chỉ kết thúc màn khóa môi quần quại khi phát hiện có người quay clip
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_006890.wav,dự án giao thông nông thôn giai đoạn I sử dụng vốn của ngân hàng thế giới, Dự án giỡ tham nôn thôn giai đoạn y dự dụng vô của ngang hà thế giới.,dưới ánh lợi theo nông thôn giai đoạn y dự dụng vô của ngang hà thế giới
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_001600.wav,những cô nàng tạo nên sức nóng cho thể thao, Những cô nàng tạo ra sức nóng cho thể thao,N những cô nàng tạo nến sức nóng cho thể thao
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000537.wav,xin chào tôi là bác sĩ hayward vấn đề hôm nay là gì," Xin chào, tôi là bác sĩ Hay Phúa, vốn đề hôm nay là gì?",xin chào tôi là bác sĩ hay quốc vốn đầy hôm nay là gì
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011416.wav,chúng tôi sống ngay ở trung tâm thị trấn, Chúng tôi sọc ngay ở dung tâm thị trấn.,chúng tôi sông ngay ở rung tâm thị trấn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004495.wav,Trong một vài trường hợp nó thực sự không thú vị lắm, Đóng một vai trương hợp nó thực trừ không thú vị lắm,Trong một vài trường hợp nó thực sự không thú vị lắm
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_002792.wav,Họ đặt ra khá nhiều mục tiêu có cả thưởng lẫn phạt, Họ đã ra khá nhiều mục tiêu có cả thường lản phạt.,Họ đặt ra khá nhiều mục tiêu có cả thưởng lãn phạt
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007783.wav,tôi có thể tìm một câu lạc bộ có nhạc N ở đâu, Tôi có thể tìm một câu lạc bù có nhạc mê của cô ở đâu?,tôi có thể tìm một câu lạc bộ có nhạc Mexico ở đâu
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007910.wav,tưởng nghe nhầm tôi hỏi lại nhưng vẫn nghe y chang, Tưởng ngay nhầm tôi hỏi lại nhưng vẫn nghe y chang.,tưởng nghe nhầm tôi hỏi lại nhưng vẫn nghe y chang
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004785.wav,Hoài Linh nổi tiếng với các vai giả gái thầy bói và tài diễn như không diễn," Hoài lính nổi tiếng với các vai giả gái, thầy bỏi và tai chiển như không chiển.",Hoài Linh nổi tiếng với các vai giả gái thầy bói và tài diện như không diễn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007241.wav,Anh biết đấy tôi đã đối mặt với nỗi đau," Anh biết đấy, tôi đã đuổi mặt với nuôi nào.",Anh biết đấy tôi đã đối mặt với nỗi đau
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010212.wav,Càng cầm được chìa khóa vạn năng của sách Hán càng phát triển được tố chất," Càng cầm được chiêu khỏa vàn nắng của sách, hàn, càng phát triển được tố chết.",Càng cầm được chiều hóa vàng năng của sex hàn càng phát triển được tố chất
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007034.wav,Dưới ánh mặt trời những đỉnh núi băng ngút ngát tầm mắt," Dạy anh mặt trơi, nhưng đình nụy bán ngụt ngon tâm mắt.",Dưới ánh mặt trời những đỉnh núi bang ngút ngàn tầm mắt
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008158.wav,Hình ảnh Rodrigo hồi nhỏ và lúc chưa phẫu thuật, Hình ảnh Roderigo hồi nhỏ và lúc chiếc phẫu thôi,Hình ảnh Rodrigo hồi nhỏ và lúc chưa phẫu thuật
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_000148.wav,tôi bị các triệu chứng viêm phổi, Tối bị các triệu trực viết vội.,tôi bị các triệu chứng viếp phổi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007914.wav,tôi đậu xe ở đây được không, Tôi đậu xa ở đây được không?,tôi đậu xe ở đây được không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_003300.wav,chỉ có những gì do bạn tạo dựng bằng chính sức lao động của mình với là mãi mãi, Chỉ có những gì do bạn tạo dẫn bằng chính sức lao động của mình với là mãi mãi.,chỉ có những gì do bạn tạo dựng bằng chính sức lao động của mình với là mãi mãi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_002498.wav,một luật sư đã kiện đôi này vì có hành vi dâm ô nơi công cộng, We'll look soon at getting rid of the people who need them more than they have got.,một luận xưa đã kiện lối này vì có cánh vi dâm bô nơi thông trọng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007594.wav,Tinh trùng bình thường sẽ có một đầu thân và đuôi, Tâm trung bình thường sẽ có mộng đầu thăm và đôi.,Tinh trùng bình thường sẽ có mục đầu thăm và đôi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_002363.wav,khởi hành lúc bảy giờ đến nơi lúc một giờ, Phải hành lúc 7h đến nơi lúc màu giả,khởi hành lúc bảy giờ đến nơi lúc màu giờ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008276.wav,Tower Defense game Thủ Thành sẽ đem đến cho bạn tất cả những điều trên, Ta đem game thủ thân để cho bạn tất cả những điều trên.,Tower Defender game thủ thành sẽ đem đến cho bạn tất cả những điều trên
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010547.wav,Đến đúng ngã tư vành đai ba chiếc xe bỗng dưng phát ra tiếng nổ nhỏ, you,tôi có thể gửi bộ phim không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008826.wav,Chúng tôi vẫn liên lạc với nhau chủ yếu là trên mạng, Chúng tôi vẫn liên lạc với nhau chủ yếu là trên mạng,Chúng tôi vẫn liên lạc với nhau chủ yếu là trên mặt
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_002025.wav,Người đó bảo em đưa điện thoại và đọc số cho em gọi, Người đó bảo em đưa điện thoại và đọc số cho em bảo em đưa điện thoại và đọc số cho em bảo em đưa điện thoại và đọc số cho em bảo em đưa điện thoại và đọc số cho em bảo em đưa điện thoại và đọc số cho em bảo em đưa điện thoại và đọc số cho em bảo em đưa điện thoại và đọc số cho em bảo em đưa điện thoại và đọc số cho em bảo em đưa điện thoại và đọc số cho em bảo em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đọc số cho em đưa điện thoại và đ,người đóng bảo em đưa điện thoại và đọc số cho em
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_012681.wav,sản phẩm này đắt, Sản phẩm này đắt, sản phẩm này đắt
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_004429.wav,Thịt thơm mềm đậm ngọt lại rất dễ ăn,都没热了没热,từ mấy giờ đến bây giờ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_003352.wav,Trong hai ngày qua trên biển Cà Mau biển động mạnh có dông lốc xoáy," Trong 2 ngày qua, trên biển Cảm ơn hôm biến Đông Mạnh.",Trong hai ngày qua trình biển Cà Mau biến đồng mạnh
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_010943.wav,bạn đã quen với tiếng địa phương casa chưa, Bạn đã quen với tiếng địa phương Kasa chưa?,bạn đã quen với tiếng địa phương Casa chưa
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_002229.wav,Thấy A E show dữ quá mình cũng bon chen tý vì vẫn đang ở vòng gửi xe," Thấy ai ấy sâu dự hỏa, mình cũng quan trọng đi vì bệnh đang ở vòng dưới xe.",Thấy ae sau dự khóa mình cũng quan chèm khí vì vẫn đang ở bằng dưới xe
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_012149.wav,anh có ý nghĩa tất cả với tôi, Anh có ý nghĩa tất cả với tôi?,anh có ý nghĩa tất cả với tôi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_009628.wav,màu xanh lá cây nhìn chung màu này hàm ý N bao hàm ý nghĩa sức khỏe tươi mát và êm đềm," Một xanh lá tây nhìn chung màu hàm ý, bao hàm ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý ý",màu xanh lá cây nhìn trông màu này hàm ý hạt bao hạt ý nghĩa sức vẻ tuyên mát và êm đềm
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_009740.wav,Nước buổi sáng lên xâm xấp đầu gối thế nên bước đi khá thoải mái," Nước buổi sáng lên xăm sắp đầu gối, thế nên bước đi khá thải mái.",Nước buổi sáng lên xăm sắp đầu gối thế nên bước đi khá thoải mái
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_001176.wav,tôi cần mang về ạ, Tôi cần mang về ạ!,tôi cần mang về ạ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_011479.wav,Sau phần lễ đội săn sẽ vào rừng sâu tìm voi," Sao phần lễ, độ sáng sẽ vào giường sau tim voy.",Sau phần lễ đội sắn sẽ vào giường sau tim voi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007566.wav,Trong khi đó mình còn rất nhiều việc phải chi," Trong khi đó, mình còn rất nhiều việc phải chi.",Trong khi đó mình còn rất nhiều việc phải che
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006643.wav,Với bạn cuộc sống thật ngắn ngủi phải khám phá và tận hưởng thôi," Với bạn cuộc sống thật ngắn nổi, phải tham khóa và tặng hưởng hơn.",Với bạn cuộc sống thật ngắn nổi phải khám khóa và tận hưởng thời
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011704.wav,tôi phải ra khỏi phòng trước lúc nào, Tôi phải ra khỏi phong trước lúc nào.,tôi phải ra khỏi phòng trước lúc nào
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007796.wav,hãy gọi cảnh sát ngay, Khảy gọi cảnh sân ngay,khay gọi cảnh sát ngay
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_013323.wav,trần nguyễn trung trực nghe đọc lệnh bắt giam, Trần nguyện chương trình nghe độc lệnh bắt giám.,trần nguyễn chung trực nghe độc lệnh bắt giam
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_003183.wav,nghe tiếng kêu cứu anh nguyễn hoài nam bảo vệ của công ty đông bắc á ở liền kề chạy sang hỗ trợ cũng bị tên trộm dùng dao chém bị thương," Nghe tiếng Kêu cứu, anh Nguyễn Hồi Nam, bảo vệ của công ty đông bắt á, ở liền kỳ, chạy xa hỗ trợ cũng bị tên trộm dùng giao chiến bị thương.",nghe tiếng kêu cứu anh nguyễn hồi nam bảo vệ của công ty đông bắc á ở liền kề chạy sang hỗ trợ cũng bị tên trộm dùng giao chém bị thương
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007602.wav,họ đã làm tốt nhất cho tôi, Họ đã làm tốt nhất cho tôi,họ đã làm tốt nhất cho tôi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001099.wav,Phụ nữ là những người chịu thiệt thòi đặc biệt là người phụ nữ đơn thân, Phụ nữ là những người chư thị thoại đặc biệt là người phụ nữ đơn thân., Phụ nữ là những người chữ thiệt thòi đặc biệt là người phụ Nữ đơn thân
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006363.wav,Lúc biển động thì thả quà bằng dây ra nhà giàn bằng xuồng, Lúc biển động thì thả qua bằng dây ra nha gian bằng sụp.,Lúc biển động thì thả qua bằng dây ra nha dàng bằng xương
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_008506.wav,tàu này có dừng lại ở Boston không, Tàu này có dừng lại ở Boston không?,tàu này có dừng lại ở Boston không
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011728.wav,ông béo ú ớ rồi lôi vợ vào khoang thuyền vội vàng chèo ngược ra, Ông béo ú ứa rồi lôi vợ vào khoang thuyền vội vàng chiều ngược ra.,ông béo ú ớ rồi lôi vợ vào khoang thuyền vội vàng chèo ngược ra
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_010581.wav,là siêu xe đầu tiên của hãng này gặp nạn được ghi nhận tại việt nam, là siêu xe đầu tiên của hãng này gặp lại được ghi nhận tại Việt Nam.,là siêu xe đầu tiên của hãng này gặp nạn được ghi nhận tại việt nam
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_005556.wav,anh được sắp xếp mà mọi người phải ghen tỵ, Anh được sắp chép mà mọi người phải gan tị.,anh được sắp chếp mà mọi người phải ghen ti
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007704.wav,Đà Nẵng đến Bình Thuận mây thay đổi ngày nắng đêm có mưa rào vài nơi, Đà nặng đến bương thường máy thay đổi ngày nắng đơn có mưu ra vài nơi.,Đà nặng đến bình thuận mấy thay đổi ngày náng đến có mươi ra vài nơi
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007700.wav,chiếc dao này không sạch, Kiệt giao này không trảnh,chiếc dao này không sạch
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_006493.wav,vui lòng cho tôi margarita lạnh, Rebuto'y maga di tala'y.,vườn cho tôi margarita lạnh
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007106.wav,anh có nhe nghe nhạc ồn ào," Anh con nhé, nghe nhạc u nào",anh có nghe nghe nhạc
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_002247.wav,bạn giới thiệu thứ gì hợp với thịt bê, Bạn giới thiệu thứ gì hợp với thịt bê,bạn giới thiệu thứ gì hợp với thịt bê
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_002010.wav,tôi thích nhất môn bóng chày, Tôi thích nhất mông móm chay,tôi thích nhất móm móm chày
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007753.wav,cấm nữ nhân viên quyến rũ khách hàng, Cầm nữ nhân viên quyền dụ khách hàng.,cấm nữ nhân viên quyển rũ khách hàng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_003876.wav,Anh sẵn sàng làm đám cưới trước nhưng Phương không muốn, Ăn sảnh ra làm lắm cứ trước nhưng vua không muốn.,Anh sẵn thàng làm đóng cứ trước nhưng phường không muốn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_001942.wav,ngành công an chắc là một trong những người đầu tiên hưởng ứng đợt sinh hoạt chính trị này, Ngành công an chắc là một trong những người đầu tiên hưởng ứng đợt sinh hoạt chính trị này.,ngành công an chắc là một trong những người đầu tiên hưởng ứng được sinh hoạt chính trị này
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_011926.wav,hãy tự đưa ra sự lựa chọn của mình, Hãy tự đưa ra sự lựa chọn của mình.,hãy tự đưa ra sự lựa chọn của mình
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001341.wav,Đã nhiều lần anh bị đói lả ngã gục xuống sàn tập mà không ai hay, Đã nhớ lần anh biết đó là ngã rung sáng tập mà không ngày 2.,Đã nhiều lần anh bị đói lã ngã gục xuống sàn tập mà không ngại hay
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_006679.wav,những người làm nông nghiệp như chúng tôi cứ thấy nói tăng giá là sợ lắm," Những người làm nông nghiệp như chúng tôi, cứ thấy nối tăng giá là sợ lắm.",những người làm nông nghiệp như chúng tôi cứ thấy nối tăng giá là sợi lắm
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_003110.wav,có tôi cần mở tài khoản,ก้อ ต้อยกันมือ ตายความ,có tôi cần mở tai khoảng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_009930.wav,nếu mua hai sản phẩm thì sao, Nãy mua hai sạch phẩm đi sau.,nếu mua hai sản phẩm thì sao
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_011786.wav,Nhưng tôi tin Điệp trước sau vẫn là người chung thủy," Nhưng tôi tin, đẹp trước sao quảng là người chết.",Nhưng tôi tin đẹp trước sau vẫn là người chồng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_009073.wav,Bằng không sẽ không có tiến bộ chung nào hết, Bằng không sẽ không có thiến bộ chung nào hết.,Bằng không sẽ không có thiến bộ chung nào hết
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_002167.wav,tôi muốn đổi đồng yên nhật ra ngoại tệ, Tối mình đổi đông ghi nhật ra ngoài tìm.,tôi muốn đổi đồng nghiên nhật cho ngoại tệ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_006386.wav,tôi không thích ăn thịt dê non, Tôi không thích ăn thịt danh non,tôi không thích ăn thực dế nón
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007822.wav,Đúng là do lớp film và kính chưa đồng nhất đấy bác ạ, Đúng là do lực phim và kiện chất đông nhất để bả,Đúng là do lớp phim và kiến trường đồng nhất đẩy bảng ạ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_000821.wav,và nhện ta liền quăng ra chiếc thòng lọng bằng tơ của nó đầu kia sẽ là bữa ăn," Và nhìn ta liền quanh ra chiếc thông lận bành tơ của nó, đầu kia sẽ là bữa anh.",và nhện ta liền quanh ra chiếc thồng lộng bằng tơ của nó đầu gia sẽ là bữa ăn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_007544.wav,nguyên nhân do chùm bong bóng có mang theo cờ phớn, Nguyên nhân do trầm bông bông có mang theo cơ phấn.,nguyên nhân do chầm bong bóng có mang theo cờ phấn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_002616.wav,Ai đó đã viết rằng các cầu thủ này sẽ không có tương lai, Ai đó đã viết rằng các cầu thủ này sẽ không có tương lai.,Ai đó đã viết rằng các cầu thủ này sẽ không có tương lai
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_007386.wav,Người ta vứt bừa bãi rác rưởi thức ăn, Người ta vứt bữa vài giác rơi thức ăn.,Người ta vứt bưa bãi rác rưỡi thức ăn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_008427.wav,buổi đó anh dũng được đưa vào bệnh viện chợ rẫy cấp cứu não bị thủng một lỗ nhỏ bởi đập xuống đường cần phẫu thuật để giữ mạng," Bởi đó, anh dũng được đưa vào bệnh viện trợ rãi cắp cứu, não bị thùng một lỗ nhỏ bởi đập xuống đường, cần phẫu thuật để giữ mạng.",bởi đó anh dũng tượng đưa vào bệnh viện chợ giẫy cấp cứu não bị thùng một lỗ nhỏ bởi đập xuống đường cần phẫu thuật để giữ mạng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_003656.wav,Sự ganh đua đố kỵ trong nghề đầy rẫy anh không sợ thua thiệt à," Sử gánh đua đỗ kỳ trong nghề đại rảy, anh không sửa thua thiệt à.",Sử găn đua đô kế trong nghề đầy rẫy ăn không sửa thua thiệt ạ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_003075.wav,thông tin ban đầu cho biết đường dây đề của Phan Thị Ngọc có liên quan với nhiều đối tượng ở các tỉnh khác, Thông tin bang đầu cho biết đường dây đề của Phan Thị Ngọc có liên quan với nhiều đối tượng ở các tỉnh khác.,thông tin ban đầu cho biết đường dây đề của phan thiện ngọc có liên quan với nhiều đối tượng ở các tỉnh khác
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_001299.wav,tôi muốn có một cái ghế xếp, Tôi muốn có một cái ghế sếp.,tôi muốn có một cái ghế xếp
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_002188.wav,Tính tới nay có thể nói chỉ noi," Đình tới nay có thể nói, chỉ nói",Tính tới nay có thể nói chỉ nói
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_005931.wav,Sẽ là một đêm diễn nhiều màu sắc nhiều bất ngờ thú vị, Xảy lã một đêm diễn nhau mau sắc nhau bắt ngô thủ vi.,Sẽ là một đêm diễn nhiều mò sắc nhiều bất ngờ thú vị
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001014.wav,Tất nhiên những người này không thuộc một nhóm đồng nhất, Tịch nhiễn những người nay không thuộc một nhỏ ông đầu nhất.,Tất nhiên những người này không thuộc một nhóm đồng nhất
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_006594.wav,so với những luống cải đã được trồng gần đó bởi phương pháp thông thường luống bắp cải sạch tuyệt đối này còn được gọi là rau hữu cơ cuộn chặt xanh mởn và chẳng có dấu hiệu bị nhiễm sâu bệnh," So với những nuốt cải đã được chồng, gần đó, bởi phương pháp thông thường, lúa móc cải sạch tuyệt đối này còn được gọi là sau hiệu cơ, cuộn chặt xanh mở và chẳng có dấu hiệu bị nhiễm, sâu bệnh.",só với những luống cải đã được chồng gần đó bởi phương pháp thông thường luống bắp cải sạch tuyệt đối này còn được gọi là sâu hữu cơ cuộn chặt xanh mởn và chẳng có dấu hiệu bị nhiễm sâu bệnh
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_010900.wav,Đà Nẵng đến Bình Thuận mây thay đổi ngày nắng đêm không mưa," Tạ nắng đến bền tổng, may thay đổi, ngày nắng đêm 010.",Đà nẵng đến bình thuận mây thay đổi ngày nắng đêm không mưa
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_008681.wav,Tôi đang cảm thấy rất tốt tiền vệ xứ Samba chia sẻ, Tôi đang cảm thấy rất tốt tiên vệ sự Samba Chia Sạ,Tôi đang cảm thấy rất tốt tiền vệ sĩ Samba chia sẻ
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_000341.wav,Hai thanh niên sún răng hát nhép, 2 thanh niên xuống răng thanh niếp,hãy thanh niên sún dặng thát nhép
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_001055.wav,Sản phẩm có sẵn với các màu đen đỏ bạc và tím," Sản phẩm có sẵn vợi các mau đen, đỏ, bạc và tím.",sản phẩm có sẵn với các màu đen đỏ bạc và chím
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set001_V0.1_014036.wav,công ty sẽ thông báo về việc tiếp thị và quảng cáo hàng, Công ty sẽ thông báo về việc kích thị và quản cáo hàng.,công ty sẽ thông báo về việc tiếp thị và quảng cáo hàng
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_006196.wav,Quá chán nản chị bế con về nhà ngoại nộp đơn xin ly hôn," Quá tráng nạn, chị bé con về nhà ngoại nặp đơn sinh ly hông?",Quá chán nản chị bé con về nhà ngoại nập đơn sinh ly hôn
/home/jupyter-toanlm/multitask/stt/wav_16k/FPTOpenSpeechData_Set002_V0.1_003200.wav,Quỹ đen để ngoại tình chơi bời quá đáng cũng là điều cấm kỵ," Quỷ đen để ngò tình, chơi bời quá đáng cũng là điều cấm kỳ.",Quỷ đang để ngoại tình chơi bời quá đáng cũng là điều cấm kỵ
